id,code snippet
0,"while True:
    do_something()
# Sample ID: 861"
1,"if x = 5:
    print('x is 5')
# Sample ID: 354"
2,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 334"
3,"for i in range(10):
print(i)
# Sample ID: 906"
4,"x = [1, 2, 3]
print(x)
# Sample ID: 290"
5,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 274"
6,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 939"
7,"if x == 5:
    print('x is 5')
# Sample ID: 732"
8,"def add(a, b)
    return a + b
# Sample ID: 66"
9,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 324"
10,"for i in range(10):
print(i)
# Sample ID: 57"
11,"x = [1, 2, 3]
print(x)
# Sample ID: 293"
12,"def add(a, b):
    return a + b
# Sample ID: 119"
13,"x = [1, 2, 3]
print x
# Sample ID: 585"
14,"while True
    do_something()
# Sample ID: 375"
15,"for i in range(10):
print(i)
# Sample ID: 276"
16,"while True
    do_something()
# Sample ID: 747"
17,"def foo()
    print('Missing colon in function definition')
# Sample ID: 129"
18,"if x == 5:
    print('x is 5')
# Sample ID: 647"
19,"while True:
    do_something()
# Sample ID: 853"
20,"while True
    do_something()
# Sample ID: 675"
21,"x = [1, 2, 3]
print(x)
# Sample ID: 665"
22,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 982"
23,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 84"
24,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 923"
25,"if x = 5:
    print('x is 5')
# Sample ID: 100"
26,"while True:
    do_something()
# Sample ID: 180"
27,"def add(a, b)
    return a + b
# Sample ID: 965"
28,"def foo()
    print('Missing colon in function definition')
# Sample ID: 793"
29,"while True
    do_something()
# Sample ID: 30"
30,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 629"
31,"while True
    do_something()
# Sample ID: 945"
32,"def foo()
    print('Missing colon in function definition')
# Sample ID: 573"
33,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 908"
34,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 81"
